Language,Language Code,Status,Speaker Labels,Speakers Expected,Speaker Options,Custom Spelling,Multi Channel Transcription,Filler Words,Automatic Language Detection,Automatic Punctuation and Casing,Export SRT or VTT Caption Files,Exporting Paragraphs and Sentences,Profanity Filtering,Word Search,PII Text Redaction,PII Audio Redaction,Detect Important Phrases and Words,Content Moderation,Topic Detection,Sentiment Analysis,Summarization,Auto Chapters,Entity Detection,Speech Threshold
Global English,en,Live,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked
Australian English,en_au,Live,checked,checked,checked,checked,checked,checked,,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked
British English,en_uk,Live,checked,checked,checked,checked,checked,checked,,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked
US English,en_us,Live,checked,checked,checked,checked,checked,checked,,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked
Spanish,es,Live,checked,checked,checked,checked,checked,,checked,checked,checked,checked,checked,checked,checked,checked,,checked,checked,,,,checked,checked
French,fr,Live,checked,checked,checked,checked,checked,,checked,checked,checked,checked,checked,checked,checked,checked,,checked,checked,,,,checked,checked
German,de,Live,checked,checked,checked,checked,checked,,checked,checked,checked,checked,checked,checked,checked,checked,,checked,checked,,,,checked,checked
Italian,it,Live,checked,checked,checked,checked,checked,,checked,checked,checked,checked,checked,checked,checked,checked,,checked,checked,,,,checked,checked
Portuguese,pt,Live,checked,checked,checked,checked,checked,,checked,checked,checked,checked,checked,checked,checked,checked,,checked,checked,,,,checked,checked
Dutch,nl,Live,checked,checked,checked,checked,checked,,checked,checked,checked,checked,checked,checked,checked,checked,,,,,,,checked,checked
Hindi,hi,Live,checked,checked,checked,checked,checked,,checked,checked,checked,checked,checked,checked,checked,checked,,,,,,,checked,checked
Japanese,ja,Live,checked,checked,checked,checked,checked,,checked,checked,checked,,checked,checked,checked,checked,,,,,,,checked,checked
Chinese,zh,Live,checked,checked,checked,checked,checked,,checked,checked,checked,,,checked,checked,checked,,,,,,,checked,checked
Finnish,fi,Live,checked,checked,checked,checked,checked,,checked,checked,checked,checked,,checked,checked,checked,,,,,,,checked,checked
Korean,ko,Live,checked,checked,checked,checked,checked,,checked,checked,checked,,,checked,checked,checked,,,,,,,checked,checked
Polish,pl,Live,checked,checked,checked,checked,checked,,checked,checked,checked,checked,,checked,checked,checked,,,,,,,checked,checked
